Comment
Kya yeti tak ye video pohocha sakte ho?
Sasta sandeep= toodeep maheshwari😂❤
Ranbeer allahabadia acting like a wow ❤ 😅
1 hour = 1.5 million views 😮
Thanks to Carry for insulting Sadhguru because that is the insult for Sanatan Dharm
Bhagwan aapke maa báap ko lambi umar de😂😂
100%  Legal Notice Will Came 😂😂
Maheshwari ji ko koi gaali nahi dega!!! Carry already do that😅
"Arrey carry bhai ke age koi bol sakta hai kya 
yeeee carry bhai"
pin kardo viral jaayega video 👀
🤣🔥🔥
"Next level acting, Carry Respect ❤"
Bina gali k bhai ka video trending me axaa nhi lgta hai 😂😂😂
Carry world ka bara chawal😅
Why you talked about hastinapur badly 😑
Ise acha port cast per hi personal video nikal leta kyu ki baki sab tio kachara hai
I have no word 🤣🤣🤣🤣🤣
Maulana ki bhi acting ker lete
Motivation dekhane ka nazariya hee badal gaya😂😂
"Sandeep Maheshwari sir ne tera kya bigada hai be...wo teri tarh Winzo Dinzo  fraud apps ko promote bhi nhi karte , tera baap hai Sandeep sir"
Sadhguru ko bhi lapet liya waahhh😅 carry bhai 😂
Bdsm wala kadak tha😂😂😂😂
Awesome 😂
🤣🤣🤣🤣🤣🤣🤣🤣
bhai beer biceps wale mai to maja hi agya
https://youtube.com/shorts/aEorODDhz7A?si=Oo1k5wbbSOMu6TlE
7:31 iska payment kitna kiya.....6000?💀💀
Wht d fck yrr u can mimic the satguru like people hadd ho gyi yrr
Beerabiceps part was good😂
Carry fan likes button👇👇👇
carrys acting is more real then the real onec
Og gang fans like here ❤
carry bhadwe sadguru se majaak nahi karna tha he teach meditation
"Ek video se kama k doosri video me laganaa, ASAAAN HAI ?"
Katiy bakwas h
Kisi ki mimicry karna is easy kisi ko defame karna is easy ...these influencer are creating good content not like you ...what you are contributing? Only abusive language right
Carry maza aa gaya vdo dekh kar
Ek din mera comment bhi viral hoga❤🥰
Bhai...yrr Ek baar me..dekh ke maza hi nhi Aata hai...2 ya 4 baar too dekhna hi..padega..❤😅😅
Where is Mr Batra
Bhai kya video banate ho
Trend gone wrong😂😂
The carry 😂😂
"He's the one who makes me laugh the most each month with his hilarious videos! 😂🙌
GOAT FOR A REASON ❤"
Chodguru and expression was OP..😁
😂😂😂❤
PANIPAT ALE LIKE KRO
Bhai bahut gali mailne wali hai iske bad tujhe savdhan rahiyo😂
Ab to carry ki videos dekh ke kuch feel bhi nhi hota wo Baat Ab nhi rahi 🙄
Vishal dayamas exceptional writing 👍
"Best mimic and roast ever , aab in logo ko motivation dena padega😂"
Medu vada Has a Separate Fanbase🌚🥶
1hrs _ 1.4m  views ❤❤❤❤
Oh bhai😅😅😅
Sadguru ko bhi lapet liye....
Superb 😂😂
https://youtube.com/shorts/aEorODDhz7A?si=Oo1k5wbbSOMu6TlE
😂😂
Carry good 😂😂😂
Katai Fresh Bhai🔥🔥🔥
Sandeep maheshwari sir 🥺🥺💔
11:30 😂😂😂😂
legend agya 😅
Best bhai ekdum best
"who is the big fan of carry 
like kro"
"Bhai sirf ek jgh hi hssi aayi thi vo bhi km aayi kyuki vo video promo me hi dekh li thi 
Baki puri bekar h mja nhi aaya 
Video-4/10
Carryminati acting -10/10"
Guru ji or Ankit and Sandeep maheshwari or ranveer allahabadiya rost in one vedio 😂
Sandeep sir : mujhe kyu lapeta isme😭😂😂
😂
THE BEST was Chadguru... AGREE
Who watched this video without skipping
Ye wala sabse  jyada bakchodi wala vdo tha 😂😂
Tala chabi 🤤Tala chabi 😅
Loved it❤
😅😅😂😂 Sandeep maheshwari
Aj mera bhi comment viral hoga 😊
Bhai aap graind ho bhai
Love you carry
on point acting
When will you collab with Saiman says! 😊😂
Next level ❤❤❤❤😂😂😂😂😂
Most talented guy on YouTube with super entertaining capabilities ❤
Sadguru is always confusing to me
😂😂😂😂😂😂
Loved it.
Iske bad trs podcast chodne wala h
Chadguru talk about more real things than Sadhguru.
Ohh bhai 😂😂😂😂😂😂😂
❤❤❤❤
Dr.varun dagal roster for ❤button ❤❤❤❤
Carryminati is nothing but amazing video creator
"Kar Dikhaya Bhai aap ne🤣🤣
Sandeep Maheshwari Sir ko Roast kar diya aap ne
Love you brother ❤️"
"Chad se panga bro.
Be safe 😂"
This is Hilarious Yrrrr.......😂😂😂😂😂😂 Can't Stop Laughing 😂😂😂😂😂
Bhai jabardast maza agaya.
Sandip maheshwari crying in corner
Love you #Carry ❤❤
Carry carry carry 😂
Carry minati cringe button >>>
Bhai 14 min kab ho gaye pata hi nai chala...🤣🤣
